,capacidad,alcaldia,latitud,longitud,alcaldia_id
270,2500,Milpa Alta,19.170828,-98.996001,009
271,2500,Milpa Alta,19.199962,-99.047464,009
272,2500,Milpa Alta,19.172882,-98.994985,009
273,2500,Milpa Alta,19.189219,-99.094027,009
274,2500,Milpa Alta,19.189768,-99.091777,009
275,2500,Milpa Alta,19.202669,-99.045242,009
276,2500,Milpa Alta,19.168709,-98.992795,009
277,2500,Milpa Alta,19.19662,-99.086981,009
278,2500,Milpa Alta,19.168171,-98.991828,009
279,2500,Milpa Alta,19.204255,-99.048821,009
280,2500,Milpa Alta,19.189778,-99.091766,009
281,2500,Milpa Alta,19.169646,-98.991522,009
282,2500,Milpa Alta,19.177638,-99.004324,009
283,2500,Milpa Alta,19.184401,-99.021606,009
284,1100,Milpa Alta,19.195436,-99.088804,009
285,2500,Milpa Alta,19.195706,-99.088566,009
286,2500,Milpa Alta,19.181133,-99.006826,009
287,2500,Milpa Alta,19.19619,-99.089039,009
288,2500,Milpa Alta,19.170573,-99.000624,009
289,2500,Milpa Alta,19.178008,-99.002619,009
290,2500,Milpa Alta,19.181127,-99.006422,009
291,2500,Milpa Alta,19.195624,-99.003769,009
292,2500,Milpa Alta,19.182315,-99.000763,009
293,2500,Milpa Alta,19.19319,-99.002426,009
294,2500,Milpa Alta,19.195333,-99.000922,009
295,2500,Milpa Alta,19.169117,-98.992078,009
296,2500,Milpa Alta,19.199885,-99.05237,009
297,1100,Milpa Alta,19.195987,-99.005026,009
298,2500,Milpa Alta,19.174356,-98.995797,009
299,2500,Milpa Alta,19.191843,-99.093721,009
300,2500,Milpa Alta,19.193885,-99.005465,009
301,2500,Milpa Alta,19.186391,-98.996321,009
302,2500,Milpa Alta,19.195785,-99.04814,009
303,2500,Milpa Alta,19.187699,-98.993463,009
304,2500,Milpa Alta,19.173057,-98.998111,009
305,2500,Milpa Alta,19.195951,-99.006677,009
306,1100,Milpa Alta,19.172567,-98.998927,009
307,1100,Milpa Alta,19.207498,-99.070776,009
308,2500,Milpa Alta,19.190693,-98.996649,009
309,2500,Milpa Alta,19.193709,-99.004582,009
310,2500,Milpa Alta,19.196161,-99.000502,009
311,2500,Milpa Alta,19.198758,-99.045919,009
312,2500,Milpa Alta,19.175038,-98.998904,009
313,2500,Milpa Alta,19.195123,-99.000628,009
314,1100,Milpa Alta,19.173428,-99.000661,009
315,2500,Milpa Alta,19.195982,-99.088999,009
316,2500,Milpa Alta,19.202481,-99.045268,009
317,2500,Milpa Alta,19.195483,-99.088251,009
318,2500,Milpa Alta,19.173933,-98.999517,009
319,2500,Milpa Alta,19.192888,-99.005776,009
320,2500,Milpa Alta,19.195767,-99.087312,009
321,1100,Milpa Alta,19.192185,-99.093437,009
322,2500,Milpa Alta,19.188313,-98.998163,009
323,2500,Milpa Alta,19.171738,-98.99991,009
324,1100,Milpa Alta,19.188697,-99.094068,009
325,2500,Milpa Alta,19.194273,-99.003323,009
326,2500,Milpa Alta,19.177907,-99.031638,009
327,2500,Milpa Alta,19.169449,-98.994408,009
328,1100,Milpa Alta,19.19012,-99.09363,009
329,1100,Milpa Alta,19.169745,-98.991371,009
330,2500,Milpa Alta,19.188602,-98.994937,009
331,2500,Milpa Alta,19.170598,-98.99394,009
332,2500,Milpa Alta,19.169117,-98.993117,009
333,2500,Milpa Alta,19.200111,-99.046176,009
334,2500,Milpa Alta,19.193098,-99.007171,009
335,1100,Milpa Alta,19.173041,-98.996997,009
336,1100,Milpa Alta,19.192985,-99.007171,009
337,2500,Milpa Alta,19.190271,-99.093572,009
338,2500,Milpa Alta,19.168136,-98.991539,009
339,1100,Milpa Alta,19.193695,-99.005459,009
340,2500,Milpa Alta,19.200375,-99.046088,009
341,2500,Milpa Alta,19.191594,-99.089313,009
342,2500,Milpa Alta,19.168373,-98.991973,009
343,2500,Milpa Alta,19.195185,-99.087481,009
344,2500,Milpa Alta,19.170993,-98.993982,009
345,2500,Milpa Alta,19.201091,-99.055077,009
346,2500,Milpa Alta,19.169938,-98.99282,009
347,2500,Milpa Alta,19.203485,-99.050312,009
348,2500,Milpa Alta,19.169706,-98.995017,009
349,2500,Milpa Alta,19.191726,-99.09368,009
350,2500,Milpa Alta,19.19728,-99.049003,009
351,2500,Milpa Alta,19.197798,-98.993364,009
352,1100,Milpa Alta,19.205649,-99.055782,009
353,2500,Milpa Alta,19.191686,-99.090939,009
354,2500,Milpa Alta,19.194244,-99.005121,009
355,2500,Milpa Alta,19.196123,-99.085667,009
356,2500,Milpa Alta,19.19996,-99.053597,009
357,2500,Milpa Alta,19.195633,-99.003218,009
358,2500,Milpa Alta,19.201279,-98.994639,009
359,2500,Milpa Alta,19.175188,-99.036195,009
360,2500,Milpa Alta,19.199303,-99.004782,009
361,2500,Milpa Alta,19.20526,-99.043891,009
362,2500,Milpa Alta,19.219921,-99.001993,009
363,2500,Milpa Alta,19.198991,-99.008316,009
364,2500,Milpa Alta,19.21992,-99.001992,009
365,2500,Milpa Alta,19.180039,-99.033582,009
366,2500,Milpa Alta,19.194774,-99.007586,009
367,2500,Milpa Alta,19.193337,-99.000518,009
368,1100,Milpa Alta,19.201545,-99.048009,009
369,2500,Milpa Alta,19.198366,-99.008074,009
370,2500,Milpa Alta,19.200321,-99.006137,009
371,2500,Milpa Alta,19.199271,-99.005942,009
372,2500,Milpa Alta,19.197841,-99.00548,009
373,2500,Milpa Alta,19.203804,-99.007421,009
374,2500,Milpa Alta,19.197729,-99.008317,009
375,2500,Milpa Alta,19.197218,-99.008271,009
376,2500,Milpa Alta,19.194704,-99.007139,009
377,2500,Milpa Alta,19.199068,-99.010017,009
378,2500,Milpa Alta,19.193519,-99.000008,009
379,2500,Milpa Alta,19.194455,-99.005055,009
380,2500,Milpa Alta,19.195561,-99.00262,009
381,2500,Milpa Alta,19.194433,-99.000876,009
382,2500,Milpa Alta,19.19506,-98.999995,009
383,2500,Milpa Alta,19.188402,-98.998057,009
384,2500,Milpa Alta,19.19431,-99.005916,009
385,2500,Milpa Alta,19.191549,-99.050455,009
386,2500,Milpa Alta,19.199486,-99.053239,009
387,1100,Milpa Alta,19.198784,-99.050786,009
388,2500,Milpa Alta,19.194014,-99.051878,009
389,2500,Milpa Alta,19.194853,-99.035262,009
390,2500,Milpa Alta,19.172443,-98.99655,009
391,2500,Milpa Alta,19.175032,-99.033707,009
392,2500,Milpa Alta,19.196963,-99.084512,009
393,1100,Milpa Alta,19.189538,-99.091226,009
394,2500,Milpa Alta,19.194837,-99.085135,009
395,2500,Milpa Alta,19.189353,-99.095672,009
396,2500,Milpa Alta,19.190162,-99.091255,009
397,2500,Milpa Alta,19.190162,-99.091255,009
398,2500,Milpa Alta,19.203774,-99.007019,009
399,2500,Milpa Alta,19.191561,-99.090856,009
400,2500,Milpa Alta,19.184999,-99.017044,009
401,2500,Milpa Alta,19.194608,-99.006602,009
402,2500,Milpa Alta,19.222469,-98.994408,009
403,2500,Milpa Alta,19.199907,-99.050907,009
404,2500,Milpa Alta,19.194582,-99.021941,009
405,2500,Milpa Alta,19.220253,-98.991942,009
406,2500,Milpa Alta,19.190731,-99.094041,009
407,2500,Milpa Alta,19.194345,-99.021892,009
408,2500,Milpa Alta,19.205254,-99.049477,009
409,2500,Milpa Alta,19.21915,-98.991144,009
410,1100,Milpa Alta,19.225427,-98.99765,009
411,1100,Milpa Alta,19.204047,-99.048692,009
412,2500,Milpa Alta,19.199414,-99.013079,009
413,2500,Milpa Alta,19.196023,-99.098137,009
414,2500,Milpa Alta,19.218116,-98.991204,009
415,2500,Milpa Alta,19.198418,-99.019948,009
416,2500,Tlalpan,19.247215,-99.141422,012
417,1100,Milpa Alta,19.202121,-99.04808,009
418,1100,Milpa Alta,19.222392,-98.994178,009
419,2500,Milpa Alta,19.202287,-99.047812,009
420,1100,Milpa Alta,19.226337,-98.997417,009
421,2500,Milpa Alta,19.195251,-99.020095,009
422,2500,Milpa Alta,19.188956,-99.093727,009
423,2500,Milpa Alta,19.189284,-99.093077,009
424,1100,Milpa Alta,19.226612,-98.997426,009
425,2500,Milpa Alta,19.195438,-99.018498,009
426,2500,Milpa Alta,19.189903,-99.09293,009
427,2500,Milpa Alta,19.19979,-99.021319,009
428,2500,Milpa Alta,19.192476,-99.091949,009
429,2500,Milpa Alta,19.195892,-99.018125,009
430,2500,Milpa Alta,19.199753,-99.021375,009
431,2500,Milpa Alta,19.200437,-99.006315,009
432,2500,Milpa Alta,19.189783,-99.091332,009
